pl_name,hostname,tic_id,period,depth_ppm,duration_hr,stellar_Teff,stellar_logg,stellar_rad,stellar_mass,label,tfop_disposition,discovery_method,facility
Kepler-1050 c,Kepler-1050,48216453,21.12845690000,,3.7890000,6010.00,4.370000,1.130000,1.090000,0,CP,Transit,Kepler
Kepler-275 b,Kepler-275,137634395,10.30068200000,,4.9670000,6165.00,4.229000,1.383000,,0,CP,Transit,Kepler
OGLE-2014-BLG-1760L b,OGLE-2014-BLG-1760L,,,,,,,,0.803000,0,CP,Microlensing,OGLE
HD 96700 b,HD 96700,23270430,8.12450000000,,,5845.00,4.390000,,0.890000,0,CP,Radial Velocity,La Silla Observatory
Kepler-464 b,Kepler-464,27239696,7.25696522400,,4.8639000,5933.00,4.110000,1.590000,1.210000,0,CP,Transit,Kepler
Kepler-297 c,Kepler-297,48304302,74.92013700000,,4.7940000,5619.00,4.468000,0.915000,,0,CP,Transit,Kepler
Kepler-454 b,Kepler-454,121276638,10.57375340000,,,5687.00,,1.066000,1.030000,0,CP,Transit,Kepler
TOI-5027 b,TOI-5027,361711730,10.24368000000,,,5909.00,4.517000,0.920000,1.020000,0,CP,Transit,Transiting Exoplanet Survey Satellite (TESS)
Kepler-834 b,Kepler-834,158392088,13.32388301000,,3.2768000,4554.00,4.640000,0.660000,0.700000,0,CP,Transit,Kepler
K2-105 b,K2-105,6892385,8.26726000000,,,5373.00,4.450000,0.905000,0.940000,0,CP,Transit,K2
Kepler-1228 b,Kepler-1228,272596598,0.57736957900,,1.0963000,5063.00,4.590000,0.740000,0.780000,0,CP,Transit,Kepler
KOI-142 b,KOI-142,122712595,10.91647000000,,,5466.00,,0.897000,0.990000,0,CP,Transit,Kepler
HAT-P-46 b,HAT-P-46,104866616,4.46312900000,,3.0984000,6120.00,4.250000,1.396000,1.284000,0,CP,Transit,HATNet
Kepler-122 b,Kepler-122,122714267,5.76619300000,,3.8460000,6050.00,4.299000,1.216000,,0,CP,Transit,Kepler
Kepler-100 d,Kepler-100,159654016,35.33310000000,,,5825.00,4.125000,1.490000,1.080000,0,CP,Transit,Kepler
Kepler-1208 b,Kepler-1208,63010574,11.08507637000,,1.7080000,5001.00,4.590000,0.760000,0.800000,0,CP,Transit,Kepler
16 Cyg B b,16 Cyg B,27533327,798.50000000000,,,5750.00,4.360000,1.130000,1.080000,0,CP,Radial Velocity,Multiple Observatories
Kepler-1481 b,Kepler-1481,299219860,5.94220998000,,2.2737000,4908.00,4.600000,0.750000,0.800000,0,CP,Transit,Kepler
HD 175607 b,HD 175607,382073690,29.01000000000,,,5392.00,4.640000,0.700000,0.710000,0,CP,Radial Velocity,La Silla Observatory
HD 109749 b,HD 109749,144289338,5.23989100000,,,5824.00,,1.220000,1.130000,0,CP,Radial Velocity,W. M. Keck Observatory
Kepler-1166 b,Kepler-1166,406951266,33.24068820000,,4.9820000,5446.00,4.530000,0.860000,0.900000,0,CP,Transit,Kepler
Kepler-157 c,Kepler-157,122716806,13.54050000000,,4.5140000,5774.00,4.389000,1.044000,,0,CP,Transit,Kepler
Kepler-837 b,Kepler-837,164891482,16.56059504000,,2.2611000,5403.00,4.560000,0.810000,0.850000,0,CP,Transit,Kepler
Kepler-360 c,Kepler-360,158213532,7.18643400000,,1.4060000,6053.00,4.423000,1.058000,,0,CP,Transit,Kepler
K2-333 b,K2-333,330690135,14.75928700000,,4.9600000,5880.00,4.290000,1.220000,1.060000,0,CP,Transit,K2
HD 27894 c,HD 27894,396697266,36.07000000000,,,,,,0.800000,0,CP,Radial Velocity,La Silla Observatory
Kepler-1165 c,Kepler-1165,158326744,29.96870041000,,,6249.00,4.428000,1.076000,1.130000,0,CP,Transit,Kepler
Kepler-371 c,Kepler-371,137550286,67.96801500000,,7.8020000,5666.00,4.390000,0.992000,,0,CP,Transit,Kepler
K2-350 b,K2-350,294319820,4.16387300000,,2.7500000,5789.00,4.390000,1.040000,0.980000,0,CP,Transit,K2
NGTS-6 b,NGTS-6,1528696,0.88205900000,,,4730.00,4.700000,0.754000,0.767000,0,CP,Transit,Next-Generation Transit Survey (NGTS)
Kepler-419 b,Kepler-419,27454084,69.75460000000,,,6430.00,4.100000,1.740000,1.390000,0,CP,Transit,Kepler
Kepler-1515 b,Kepler-1515,417660218,214.31141640000,,16.1734000,6511.00,4.260000,1.410000,1.300000,0,CP,Transit,Kepler
Kepler-540 b,Kepler-540,159452015,172.70497840000,,11.2793000,5946.00,4.380000,1.080000,1.020000,0,CP,Transit,Kepler
HATS-26 b,HATS-26,315002523,3.30238810000,,5.2152000,6071.00,3.936000,2.040000,1.299000,0,CP,Transit,HATSouth
Kepler-85 b,Kepler-85,159580705,8.30000000000,,,5505.20,,0.875000,0.928000,0,CP,Transit,Kepler
K2-16 c,K2-16,281886199,19.07863000000,,3.8590000,4742.00,4.510000,0.660000,0.680000,0,CP,Transit,K2
TOI-7510 c,TOI-7510,118798035,22.56874230000,,,5720.00,4.439000,1.035000,1.063000,0,CP,Transit,Transiting Exoplanet Survey Satellite (TESS)
Kepler-805 b,Kepler-805,275573748,30.86389310000,,8.4210000,6112.00,4.080000,1.650000,1.190000,0,CP,Transit,Kepler
YZ Cet d,YZ Cet,439403362,4.65626000000,,,3151.00,5.170000,0.157000,0.142000,0,CP,Radial Velocity,La Silla Observatory
Kepler-122 c,Kepler-122,122714267,12.46598800000,,5.0630000,6050.00,4.299000,1.216000,,0,CP,Transit,Kepler
WASP-68 b,WASP-68,71841620,5.08430000000,0.57000000,,5910.00,4.170000,1.790000,1.490000,0,CP,Transit,SuperWASP
HD 97658 b,HD 97658,82308728,9.48971160000,0.07120000,,5212.00,4.640000,0.728000,0.850000,0,CP,Radial Velocity,W. M. Keck Observatory
Kepler-1379 b,Kepler-1379,138296836,0.88184114600,,1.3051000,5188.00,4.570000,0.790000,0.830000,0,CP,Transit,Kepler
Kepler-1850 b,Kepler-1850,158389981,1.38580000400,,,4239.00,4.667000,0.600000,0.611000,0,CP,Transit,Kepler
Kepler-1943 b,Kepler-1943,138100223,4.85018014900,,,6032.00,4.485000,0.973000,1.055000,0,CP,Transit,Kepler
Kepler-519 b,Kepler-519,171971913,24.30789460000,,2.5981000,5260.00,4.580000,0.800000,0.890000,0,CP,Transit,Kepler
Kepler-661 b,Kepler-661,164557360,6.02930132100,,1.5798000,4483.00,4.640000,0.670000,0.700000,0,CP,Transit,Kepler
Kepler-1813 b,Kepler-1813,424864367,2.81816005700,,,5167.00,4.555000,0.787000,0.812000,0,CP,Transit,Kepler
Kepler-237 b,Kepler-237,258348597,4.71510600000,,2.3510000,4861.00,4.583000,0.725000,,0,CP,Transit,Kepler
Kepler-177 b,Kepler-177,158172348,36.86010000000,,,5732.00,4.100000,1.324000,0.921000,0,CP,Transit,Kepler
K2-237 b,K2-237,16288184,2.18053332000,1.41600000,2.9272800,6180.00,4.353000,1.236000,1.256000,0,CP,Transit,K2
TIC 139702105 b,TIC 139702105,139702105,6.83601903383,,2.2345072,5742.35,4.292700,1.254230,,0,CP,Transit,Transiting Exoplanet Survey Satellite (TESS)
Kepler-696 b,Kepler-696,138219428,4.19042557500,,2.8403000,5903.00,4.390000,1.080000,1.060000,0,CP,Transit,Kepler
Kepler-1846 b,Kepler-1846,271044777,14.82009983000,,,4825.00,4.603000,0.732000,0.785000,0,CP,Transit,Kepler
Kepler-1456 b,Kepler-1456,158385035,18.13738290000,,3.5500000,4231.00,4.670000,0.620000,0.640000,0,CP,Transit,Kepler
Kepler-137 b,Kepler-137,123415819,8.43638700000,,3.2170000,5187.00,4.553000,0.802000,,0,CP,Transit,Kepler
K2-11 b,K2-11,301609547,39.93767000000,0.07000000,,5433.00,,5.150000,1.350000,0,CP,Transit,K2
Kepler-248 b,Kepler-248,275493574,6.30820500000,,3.0080000,5190.00,4.573000,0.831000,,0,CP,Transit,Kepler
CoRoT-11 b,CoRoT-11,110178537,2.99433000000,1.14490000,2.5009000,6440.00,4.220000,1.370000,1.270000,0,CP,Transit,CoRoT
Kepler-55 d,Kepler-55,164884002,2.21109900000,,1.6440000,4503.00,4.684000,0.619000,,0,CP,Transit,Kepler
K2-73 c,K2-73,38354061,1000.00000000000,,,5867.00,4.390000,1.058000,1.020000,0,CP,Radial Velocity,W. M. Keck Observatory
WASP-160 B b,WASP-160 B,32949762,3.76849520000,1.66300000,2.8442400,5298.00,,0.868000,0.870000,0,CP,Transit,SuperWASP-South
TOI-6034 b,TOI-6034,388076422,2.57618400000,,1.5600000,3635.00,4.770000,0.489000,0.514000,0,CP,Transit,Transiting Exoplanet Survey Satellite (TESS)
HIP 75092 b,HIP 75092,225884682,926.40000000000,,,4891.00,3.090000,4.530000,1.280000,0,CP,Radial Velocity,Multiple Observatories
TOI-139 b,TOI-139,62483237,11.07085000000,,,4570.00,4.705000,0.700700,0.690000,0,CP,Transit,Transiting Exoplanet Survey Satellite (TESS)
TOI-269 b,TOI-269,220479565,3.69771040000,,,3514.00,4.831000,0.398000,0.391700,0,CP,Transit,Transiting Exoplanet Survey Satellite (TESS)
Kepler-31 d,Kepler-31,270788519,87.64510000000,0.09590000,8.2560000,6340.00,4.696000,1.220000,1.210000,0,CP,Transit,Kepler
Kepler-109 c,Kepler-109,122441003,21.22265000000,,,5950.00,,1.387000,1.094000,0,CP,Transit,Kepler
Kepler-1397 b,Kepler-1397,269030207,47.44995500000,,10.7470000,6026.00,4.370000,1.120000,1.090000,0,CP,Transit,Kepler
WTS-2 b,WTS-2,138359318,1.01870680000,,,5000.00,4.600000,0.752000,0.820000,0,CP,Transit,United Kingdom Infrared Telescope
TIC 160113658 b,TIC 160113658,160113658,6.72952262077,,2.3227940,4817.31,4.585600,0.789834,,0,CP,Transit,Transiting Exoplanet Survey Satellite (TESS)
HAT-P-44 b,HAT-P-44,168699373,4.30121900000,,3.1248000,5295.00,4.460000,0.949000,0.942000,0,CP,Transit,HATNet
K2-75 b,K2-75,250996363,7.81420000000,,5.4800000,5995.00,4.118000,1.560000,1.160000,0,CP,Transit,K2
Kepler-1945 b,Kepler-1945,123408849,6.08003997800,,,4991.00,4.513000,0.804000,0.767000,0,CP,Transit,Kepler
TOI-1789 b,TOI-1789,172518755,3.20866400000,0.46300000,2.3000000,5991.00,3.943000,2.168000,1.507000,0,CP,Transit,Transiting Exoplanet Survey Satellite (TESS)
Kepler-1092 b,Kepler-1092,273378026,58.60179250000,,5.5430000,5862.00,4.440000,1.000000,0.990000,0,CP,Transit,Kepler
K2-186 b,K2-186,203228393,41.47421900000,,,5784.00,4.450000,0.980830,1.018617,0,CP,Transit,K2
Kepler-1497 b,Kepler-1497,272275278,8.74199772000,,4.2970000,5675.00,4.470000,0.950000,0.960000,0,CP,Transit,Kepler
HD 154088 b,HD 154088,20856917,18.56000000000,,,5374.00,4.370000,,0.910000,0,CP,Radial Velocity,La Silla Observatory
KMT-2021-BLG-1391L b,KMT-2021-BLG-1391L,,,,,,,,0.370000,0,CP,Microlensing,KMTNet
Kepler-1193 b,Kepler-1193,298897851,2.83265213400,,2.3844000,5908.00,4.310000,1.210000,1.080000,0,CP,Transit,Kepler
OGLE-2012-BLG-0358L b,OGLE-2012-BLG-0358L,,,,,,,,0.022000,0,CP,Microlensing,OGLE
Kepler-15 b,Kepler-15,27774415,4.94278200000,1.12650000,3.5000000,5515.00,4.460000,0.992000,1.018000,0,CP,Transit,Kepler
KMT-2021-BLG-0240L b,KMT-2021-BLG-0240L,,,,,,,,0.560000,0,CP,Microlensing,KMTNet
TOI-3464 b,TOI-3464,290504044,3.65155680000,0.65400000,2.5080000,6370.00,4.185000,1.560000,1.363000,0,CP,Transit,Transiting Exoplanet Survey Satellite (TESS)
HD 33844 c,HD 33844,169534187,916.00000000000,,,4861.00,3.240000,5.290000,1.780000,0,CP,Radial Velocity,Anglo-Australian Telescope
HAT-P-2 c,HAT-P-2,39903405,8500.00000000000,,,,,,1.330000,0,CP,Radial Velocity,Multiple Observatories
Kepler-201 c,Kepler-201,138297190,151.88405800000,,12.9900000,6065.00,4.294000,1.229000,,0,CP,Transit,Kepler
Kepler-29 b,Kepler-29,273875635,10.33974000000,0.10200000,3.0410000,5378.00,4.600000,0.732000,0.761000,0,CP,Transit,Kepler
Kepler-233 c,Kepler-233,27843776,60.41895500000,,5.6190000,5360.00,4.614000,0.758000,,0,CP,Transit,Kepler
K2-254 c,K2-254,147683165,12.11839000000,0.12000000,2.4000000,4629.00,4.640000,0.670000,0.710000,0,CP,Transit,K2
TOI-4137 b,TOI-4137,417646390,3.80161220000,0.74900000,3.4296000,6202.00,4.240000,1.438000,1.313000,0,CP,Transit,Transiting Exoplanet Survey Satellite (TESS)
