tic_id,toi,ra,dec,period,depth_ppm,duration_hr,epoch_bjd,stellar_Teff,stellar_logg,stellar_rad,stellar_mass,tess_mag,planet_rad_earth,planet_snr,tfop_disposition,label,sectors
403287048,152.01,332.357482,-62.334453,7.00776,3666.99,2.68,2458327.92337,6347.0,4.23,1.22,1.26,11.3569,8.1288,16.0,FP,3,1
231081369,153.01,68.073785,-66.916299,7.6316384,4580.0,2.054,2460069.867358,6338.3,4.16,1.49,,11.7349,12.4425,45.0,APC,0,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,30,31,32,33,34,35,36,37,38,61,62,63,65,67"
389525208,154.01,313.261454,-38.594923,6.74657,2970.0,1.803,2458329.36085,5910.7,3.59,2.57,1.17,10.0704,16.2785,31.0,FP,3,"1,27"
129637892,155.01,321.11498,-37.850181,5.4499753,973.0,4.319,2460168.813769,6220.5,3.99,1.79,1.35,9.0284,5.28759,26.0,PC,0,"1,28,68"
220518305,156.01,41.467598,-64.320687,14.152037719004,3180.4559232242,3.1439910241003,2460968.40875,5823.9,4.6,1.28,1.21,10.294,8.301160353775384,180.77679250385,FP,3,"1,3,28,29,30,68,69,95,96,97"
140691463,157.01,73.70144,-76.680606,2.084543417798,12504.825019001,2.0170380386704,2458543.338324,5638.0,4.35,1.10645997524261,1.0,12.0166,13.4432705000237,371.14728,CP,0,"9,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,66,67,68,69"
403136413,158.01,333.578718,-55.378981,2.51266,2790.01,2.411,2458326.37811,5988.0,4.08,2.3,1.15,11.2314,13.3617,22.0,FP,3,1
394657039,159.01,51.782268,-78.549831,3.7628372,11360.0,3.956,2459382.232709,6979.2,4.22,1.58746004104614,1.53,10.5132,17.3305867366452,297.0,CP,0,"1,2,12,13,28,32,39"
253917293,160.01,337.500827,-31.924356,4.608,3213.22,3.383,2458327.37627,5935.0,4.29,1.28,1.12,11.2901,7.99698,25.0,FP,3,1
348770361,161.01,46.686553,-82.316371,2.7684331,3234.0971112358,4.223,2459388.787312,5388.0,,0.98,,11.4964,4.61938,45.0,PC,0,"1,12,13,27,28,39"
99493790,162.01,317.639908,-23.305817,7.764691,24530.0,3.185,2459078.393053,5404.7,4.4,0.99,0.971,11.6834,15.6068,36.0,APC,0,"1,28"
179317684,163.01,79.768253,-71.895527,4.2311172621589,7261.2759360579,4.3531635432061,2458544.670293,6671.0,4.14,1.66401994228363,1.41,10.8719,14.6260711096069,371.85303,CP,0,"9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,66,68,69"
79395355,164.01,320.054292,-51.309972,7.31898,3809.3,3.771,2458328.33733,5926.0,4.27,1.3,1.15,11.407,8.79673,17.0,FP,3,1
350743714,165.01,88.886226,-57.290745,7.7576430188623,7336.6908821605,2.8561355861594,2460746.619767,6038.0,3.96,1.91151,,9.6686,12.793699129602471,2983.8866432654,FP,3,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,66,67,68,69,87,88,89"
147203645,166.01,323.196086,-44.018036,5.0611314751549,5276.034930159,1.5562414194691,2459065.316593,5254.0,4.45,1.00216996669769,0.94,10.7258,9.14843017114491,39.23764,PC,0,"1,28,68"
149990841,167.01,90.662482,-64.819484,4.4531846,5910.0,1.687,2459387.893848,5766.0,,,,11.6349,,88.0,PC,0,"1,2,4,5,7,8,9,11,12,27,28,29,31,32,34,35,36,37"
369457671,168.01,311.64359,-37.904399,2.31446,1190.0,1.347,2458326.4928,4801.5,,0.73,0.74,11.5147,3.40668,10.0,PC,0,"1,27"
183120439,169.01,16.778688,-75.198945,2.2554459223653,5283.7103900699,1.6678604048114,2459062.718052,5817.0,4.23,1.29660999774933,1.05,11.788,11.0535292842194,34.75056,CP,0,"13,27,28"
394698182,170.01,54.989595,-83.088518,3.7115129,12280.0,2.685,2459387.008657,5973.0,4.31,1.22,1.1,11.9692,13.941,156.0,PC,0,"12,13,27,28,39"
309257814,171.01,124.269428,-63.213403,1.2386010346057,12167.530917843,1.9048913439245,2458570.408133,5237.0,4.2427,1.10722994804382,0.88,11.6626,12.1897562489188,64.7628,PC,0,"1,8,9,10,11,28,31,35,36,37,38,61,62,63,64"
309257814,171.02,124.269428,-63.213403,1.8135767255614,4166.2802035227,1.0753316495173,2458569.773308,5237.0,4.2427,1.10722994804382,0.88,11.6626,7.66045804280294,23.709396,FP,3,"10,28,31,35,36,37,38,61,62,63,64"
29857954,172.01,316.631879,-26.692865,9.47686,2980.0,4.392,2458326.92242,5801.8,4.32,1.79,1.031,10.7379,9.80856,14.0,CP,0,"1,28"
