pl_name,hostname,tic_id,pl_orbper,pl_trandep,pl_trandur,st_teff,st_logg,st_rad,st_mass,discoverymethod,disc_facility,default_flag
"Qatar-3 b","Qatar-3","TIC 291751373",2.50792040000,0.78900000,3.1104000,6007.00,4.286000,1.272000,1.145000,"Transit","Qatar",1
"Kepler-1230 b","Kepler-1230","TIC 237157859",9.95661537000,,2.8700000,5961.00,4.400000,1.080000,1.060000,"Transit","Kepler",1
"TOI-5322 b","TOI-5322","TIC 336691874",5.42332070000,1.08600000,5.1110000,5692.00,4.110000,1.462000,0.998000,"Transit","Transiting Exoplanet Survey Satellite (TESS)",1
"HD 156411 b","HD 156411","TIC 412409409",842.20000000000,,,5900.00,4.070000,2.160000,1.250000,"Radial Velocity","La Silla Observatory",1
"K2-146 c","K2-146","TIC 175261852",4.00498000000,,,3385.00,,0.330000,0.331000,"Transit","K2",1
"TOI-1782.02","TOI-1782","TIC 160045097",1.82902422700,,1.5441000,4336.00,,0.669000,0.680000,"Transit","Transiting Exoplanet Survey Satellite (TESS)",1
"Kepler-1443 b","Kepler-1443","TIC 164525743",2.41811321000,,2.1940000,6289.00,4.300000,1.270000,1.190000,"Transit","Kepler",1
"HD 109833 b","HD 109833","TIC 360630575",9.18852600000,,,5881.00,4.450000,1.000000,1.080000,"Transit","Transiting Exoplanet Survey Satellite (TESS)",1
"Gliese 12 b","Gliese 12","TIC 52005579",12.76141800000,,,3328.00,5.250000,0.265000,0.255000,"Transit","Transiting Exoplanet Survey Satellite (TESS)",1
"HD 3651 b","HD 3651","TIC 434210589",62.25000000000,,,5221.00,4.450000,,0.799000,"Radial Velocity","Multiple Observatories",1
"HD 10697 b","HD 10697","TIC 456905162",1075.37990000000,,,,,,0.990000,"Radial Velocity","W. M. Keck Observatory",1
"Kepler-1722 b","Kepler-1722","TIC 360023124",9.17856979400,,,5506.00,4.584000,0.788000,0.876000,"Transit","Kepler",1
"Kepler-506 b","Kepler-506","TIC 120317234",6.88340550000,,2.0651000,6236.00,4.360000,1.190000,1.190000,"Transit","Kepler",1
"Kepler-595 c","Kepler-595","TIC 27231753",12.38602000000,,,,,0.821000,0.930000,"Transit","Kepler",1
"HD 20794 d","HD 20794","TIC 301051051",89.68000000000,,,5368.00,4.390000,0.930000,0.790000,"Radial Velocity","La Silla Observatory",1
"Kepler-368 c","Kepler-368","TIC 63066763",72.37933400000,,7.6850000,5502.00,3.903000,2.019000,,"Transit","Kepler",1
"Kepler-1545 b","Kepler-1545","TIC 268382450",163.69234900000,,6.8560000,5201.00,4.570000,0.800000,0.840000,"Transit","Kepler",1
"K2-192 b","K2-192","TIC 187273811",4.16281700000,,,5222.00,4.570000,0.810000,0.900000,"Transit","K2",1
"Kepler-124 d","Kepler-124","TIC 399860218",30.95085100000,,4.1960000,4984.00,4.669000,0.636000,,"Transit","Kepler",1
"MOA-2011-BLG-291L b","MOA-2011-BLG-291L",,,,,,,,0.150000,"Microlensing","MOA",1
"HD 95127 b","HD 95127","TIC 252794572",482.00000000000,,,4218.00,1.780000,41.010000,3.700000,"Radial Velocity","McDonald Observatory",1
